Acc;Gyr;Label
0,140810503;0,100395212;Ride
0,153347348;0,012804558;Ride
0,090271687;4,15906E-05;Ride
0,040556035;0,002235629;Ride
0,048635141;0,028444905;Ride
0,121895765;0,105071577;Ride
0,060585311;0,06576868;Ride
0,497585155;0,013014056;Ride
6,65942507;0,039116279;Ride
4,808545892;0,014168123;Ride
10,7263896;0,030769349;Ride
5,98372505;0,009486615;Ride
2,712478062;0,016171583;Ride
1,466064669;0,005994901;Ride
1,273835718;0,012030981;Ride
0,525147272;0,000448902;Ride
20,31323535;0,028249098;Ride
0,304151779;0,004920796;Ride
0,148029416;0,000649299;Ride
0,141734085;6,94062E-05;Ride
0,230688799;8,25397E-05;Ride
0,130841071;0,002146246;Ride
0,32751346;0,002965392;Ride
0,167034378;0,001947925;Ride
0,409435002;0,004956814;Ride
0,655175925;0,019246352;Ride
2,756700113;0,076875581;Ride
0,607490655;0,031141998;Ride
0,166533894;0,036582466;Ride
0,031863896;0,000840319;Ride
0,003063578;0,004715999;Ride
0,011557123;0,000874642;Ride
0,003720422;0,000270941;Ride
0,019967007;0,010498908;Ride
0,007163956;0,004886307;Ride
0,005746398;0,008430051;Ride
0,001604912;0,020657884;Ride
0,00122678;6,00026E-05;Ride
0,001173615;3,46208E-05;Ride
0,000733868;5,97956E-05;Ride
0,000859879;3,19129E-05;Ride
0,001054152;5,56684E-05;Ride
